Date,Stock Name,Time,Entry,TP,SL,Result,Exit
2023-08-01 15:00:00,NSE:LT-EQ,2023-08-01 15:00:00,2671.0,2680.5999999999995,2667.8, SL hit at 2667.8,2667.8
2023-08-01 15:20:00,NSE:LT-EQ,2023-08-01 15:20:00,2667.25,2674.5999999999995,2664.8, SL hit at 2664.8,2664.8
2023-08-02 13:15:00,NSE:LT-EQ,2023-08-02 13:15:00,2632.3,2651.8,2625.8, SL hit at 2625.8,2625.8
2023-08-02 14:00:00,NSE:LT-EQ,2023-08-02 14:00:00,2612.45,2626.6999999999985,2607.7000000000003, SL hit at 2607.7000000000003,2607.7000000000003
2023-08-02 15:00:00,NSE:LT-EQ,2023-08-02 15:00:00,2607.95,2624.2999999999993,2602.5, TP hit at 2624.2999999999993,2624.2999999999993
2023-08-03 14:40:00,NSE:LT-EQ,2023-08-03 14:40:00,2615.0,2665.699999999999,2598.1000000000004, SL hit at 2598.1000000000004,2598.1000000000004
2023-08-04 15:15:00,NSE:LT-EQ,2023-08-04 15:15:00,2623.75,2635.449999999999,2619.8500000000004, EOD Exit at 2626.65,2626.65
2023-08-07 11:30:00,NSE:LT-EQ,2023-08-07 11:30:00,2640.5,2649.949999999999,2637.3500000000004, SL hit at 2637.3500000000004,2637.3500000000004
2023-08-07 12:10:00,NSE:LT-EQ,2023-08-07 12:10:00,2635.6,2643.999999999999,2632.8, SL hit at 2632.8,2632.8
2023-08-07 15:10:00,NSE:LT-EQ,2023-08-07 15:10:00,2636.85,2647.3499999999985,2633.3500000000004, SL hit at 2633.3500000000004,2633.3500000000004
2023-08-08 10:15:00,NSE:LT-EQ,2023-08-08 10:15:00,2634.35,2644.8499999999985,2630.8500000000004, TP hit at 2644.8499999999985,2644.8499999999985
2023-08-08 14:55:00,NSE:LT-EQ,2023-08-08 14:55:00,2635.0,2642.5,2632.5, SL hit at 2632.5,2632.5
