Date,Stock Name,Time,Entry,TP,SL,Result,Exit
01-08-2023 15:15,NSE:INFY-EQ,01-08-2023 15:15,1363.8,1370.1,1361.7, EOD Exit at 1365.4,1365.4
02-08-2023 11:15,NSE:INFY-EQ,02-08-2023 11:15,1363.8,1373.85,1360.45, SL hit at 1360.45,1360.45
02-08-2023 13:40,NSE:INFY-EQ,02-08-2023 13:40,1354.85,1360.4,1353, SL hit at 1353.0,1353
02-08-2023 14:10,NSE:INFY-EQ,02-08-2023 14:10,1353.05,1356.8,1351.8, SL hit at 1351.8,1351.8
03-08-2023 12:30,NSE:INFY-EQ,03-08-2023 12:30,1357.35,1360.65,1356.25, SL hit at 1356.25,1356.25
03-08-2023 14:55,NSE:INFY-EQ,03-08-2023 14:55,1351.65,1356.6,1350, TP hit at 1356.6000000000004,1356.6
04-08-2023 11:10,NSE:INFY-EQ,04-08-2023 11:10,1375,1385.95,1371.35, SL hit at 1371.35,1371.35
04-08-2023 11:30,NSE:INFY-EQ,04-08-2023 11:30,1369.45,1373.35,1368.15, TP hit at 1373.3500000000006,1373.35
08-08-2023 15:15,NSE:INFY-EQ,08-08-2023 15:15,1386.8,1392.8,1384.8, EOD Exit at 1390.4,1390.4
09-08-2023 10:15,NSE:INFY-EQ,09-08-2023 10:15,1386.95,1391.75,1385.35, SL hit at 1385.35,1385.35
09-08-2023 10:30,NSE:INFY-EQ,09-08-2023 10:30,1384.8,1388.55,1383.55, SL hit at 1383.55,1383.55
09-08-2023 12:30,NSE:INFY-EQ,09-08-2023 12:30,1388.2,1390.9,1387.3, TP hit at 1390.9000000000003,1390.9
10-08-2023 15:00,NSE:INFY-EQ,10-08-2023 15:00,1390.75,1399.6,1387.8, SL hit at 1387.8,1387.8
11-08-2023 10:30,NSE:INFY-EQ,11-08-2023 10:30,1380.9,1387.5,1378.7, SL hit at 1378.7,1378.7
11-08-2023 12:05,NSE:INFY-EQ,11-08-2023 12:05,1373.75,1381.7,1371.1, SL hit at 1371.1,1371.1
11-08-2023 12:55,NSE:INFY-EQ,11-08-2023 12:55,1371.85,1379.35,1369.35, SL hit at 1369.35,1369.35
11-08-2023 15:10,NSE:INFY-EQ,11-08-2023 15:10,1373.3,1380.35,1370.95, SL hit at 1370.95,1370.95
14-08-2023 09:15,NSE:INFY-EQ,14-08-2023 09:15,1371.5,1376.15,1369.95, SL hit at 1369.95,1369.95
14-08-2023 11:00,NSE:INFY-EQ,14-08-2023 11:00,1372.95,1382.4,1369.8, SL hit at 1369.8,1369.8
14-08-2023 11:20,NSE:INFY-EQ,14-08-2023 11:20,1370.85,1374.75,1369.55, TP hit at 1374.7499999999998,1374.75
16-08-2023 13:40,NSE:INFY-EQ,16-08-2023 13:40,1412.95,1419.1,1410.9, TP hit at 1419.1000000000006,1419.1
16-08-2023 14:50,NSE:INFY-EQ,16-08-2023 14:50,1415.25,1421.55,1413.15, SL hit at 1413.1499999999999,1413.15
16-08-2023 15:15,NSE:INFY-EQ,16-08-2023 15:15,1414.4,1421.3,1412.1, EOD Exit at 1419.4,1419.4
17-08-2023 09:55,NSE:INFY-EQ,17-08-2023 09:55,1413.9,1423.05,1410.85, SL hit at 1410.85,1410.85
17-08-2023 10:15,NSE:INFY-EQ,17-08-2023 10:15,1409.8,1415.8,1407.8, SL hit at 1407.8,1407.8
17-08-2023 10:55,NSE:INFY-EQ,17-08-2023 10:55,1407.4,1412.2,1405.8, TP hit at 1412.2000000000005,1412.2
17-08-2023 13:15,NSE:INFY-EQ,17-08-2023 13:15,1414,1419.55,1412.15, SL hit at 1412.1499999999999,1412.15
17-08-2023 15:15,NSE:INFY-EQ,17-08-2023 15:15,1413,1422.6,1409.8, EOD Exit at 1412.3,1412.3
18-08-2023 09:40,NSE:INFY-EQ,18-08-2023 09:40,1401,1407.45,1398.85, SL hit at 1398.85,1398.85
18-08-2023 09:50,NSE:INFY-EQ,18-08-2023 09:50,1399.4,1406.9,1396.9, SL hit at 1396.8999999999999,1396.9
18-08-2023 10:25,NSE:INFY-EQ,18-08-2023 10:25,1396.4,1404.2,1393.8, SL hit at 1393.8,1393.8
18-08-2023 13:05,NSE:INFY-EQ,18-08-2023 13:05,1390.05,1395.6,1388.2, SL hit at 1388.2,1388.2
18-08-2023 15:15,NSE:INFY-EQ,18-08-2023 15:15,1388.6,1396.55,1385.95, EOD Exit at 1390.55,1390.55
21-08-2023 14:35,NSE:INFY-EQ,21-08-2023 14:35,1401.5,1403.6,1400.8, TP hit at 1403.6000000000001,1403.6
22-08-2023 09:50,NSE:INFY-EQ,22-08-2023 09:50,1400,1403.6,1398.8, SL hit at 1398.8,1398.8
22-08-2023 10:05,NSE:INFY-EQ,22-08-2023 10:05,1399,1402.75,1397.75, SL hit at 1397.75,1397.75
23-08-2023 13:50,NSE:INFY-EQ,23-08-2023 13:50,1408.05,1411.8,1406.8, SL hit at 1406.8,1406.8
25-08-2023 15:15,NSE:INFY-EQ,25-08-2023 15:15,1419,1436.1,1413.3, EOD Exit at 1420.6,1420.6
28-08-2023 13:55,NSE:INFY-EQ,28-08-2023 13:55,1417.2,1418.4,1416.8, TP hit at 1418.4000000000003,1418.4
28-08-2023 14:10,NSE:INFY-EQ,28-08-2023 14:10,1417.1,1418,1416.8, SL hit at 1416.8,1416.8
28-08-2023 14:20,NSE:INFY-EQ,28-08-2023 14:20,1416.15,1417.8,1415.6, SL hit at 1415.6,1415.6
28-08-2023 15:15,NSE:INFY-EQ,28-08-2023 15:15,1414.45,1418.35,1413.15, EOD Exit at 1415.85,1415.85
29-08-2023 12:00,NSE:INFY-EQ,29-08-2023 12:00,1419.7,1422.4,1418.8, SL hit at 1418.8,1418.8
29-08-2023 14:55,NSE:INFY-EQ,29-08-2023 14:55,1418.9,1427.15,1416.15, SL hit at 1416.1499999999999,1416.15
29-08-2023 15:15,NSE:INFY-EQ,29-08-2023 15:15,1417.6,1423.6,1415.6, EOD Exit at 1416.45,1416.45
31-08-2023 14:25,NSE:INFY-EQ,31-08-2023 14:25,1439.1,1443,1437.8, SL hit at 1437.8,1437.8
31-08-2023 15:15,NSE:INFY-EQ,31-08-2023 15:15,1436.35,1441.75,1434.55, EOD Exit at 1434.65,1434.65
01-09-2023 09:50,NSE:INFY-EQ,01-09-2023 09:50,1430.2,1433.95,1428.95, TP hit at 1433.95,1433.95
01-09-2023 15:15,NSE:INFY-EQ,01-09-2023 15:15,1440.4,1450,1437.2, EOD Exit at 1445.2,1445.2
04-09-2023 09:45,NSE:INFY-EQ,04-09-2023 09:45,1440.2,1449.2,1437.2, SL hit at 1437.2,1437.2
05-09-2023 10:40,NSE:INFY-EQ,05-09-2023 10:40,1461.25,1473.1,1457.3, TP hit at 1473.1000000000001,1473.1
05-09-2023 15:15,NSE:INFY-EQ,05-09-2023 15:15,1475.35,1484.05,1472.45, EOD Exit at 1479.05,1479.05
06-09-2023 10:05,NSE:INFY-EQ,06-09-2023 10:05,1474.4,1482.95,1471.55, SL hit at 1471.55,1471.55
06-09-2023 12:40,NSE:INFY-EQ,06-09-2023 12:40,1468.3,1474.3,1466.3, SL hit at 1466.3,1466.3
06-09-2023 13:20,NSE:INFY-EQ,06-09-2023 13:20,1466.85,1472.55,1464.95, SL hit at 1464.95,1464.95
07-09-2023 12:00,NSE:INFY-EQ,07-09-2023 12:00,1468,1470.7,1467.1, TP hit at 1470.7000000000003,1470.7
07-09-2023 13:30,NSE:INFY-EQ,07-09-2023 13:30,1464.1,1468.6,1462.6, SL hit at 1462.6,1462.6
08-09-2023 11:55,NSE:INFY-EQ,08-09-2023 11:55,1467.55,1472.35,1465.95, TP hit at 1472.3499999999997,1472.35
08-09-2023 15:15,NSE:INFY-EQ,08-09-2023 15:15,1469.3,1477.4,1466.6, EOD Exit at 1471.15,1471.15
11-09-2023 14:05,NSE:INFY-EQ,11-09-2023 14:05,1472,1476.8,1470.4, SL hit at 1470.3999999999999,1470.4
11-09-2023 15:00,NSE:INFY-EQ,11-09-2023 15:00,1470.85,1474,1469.8, TP hit at 1473.9999999999998,1474
13-09-2023 15:15,NSE:INFY-EQ,13-09-2023 15:15,1492.7,1505.45,1488.45, EOD Exit at 1498.8,1498.8
15-09-2023 14:55,NSE:INFY-EQ,15-09-2023 14:55,1510.5,1513.8,1509.4, TP hit at 1513.8000000000004,1513.8
15-09-2023 15:25,NSE:INFY-EQ,15-09-2023 15:25,1511.4,1517.4,1509.4, SL hit at 1509.3999999999999,1509.4
18-09-2023 10:40,NSE:INFY-EQ,18-09-2023 10:40,1496.45,1504.25,1493.85, SL hit at 1493.85,1493.85
18-09-2023 11:45,NSE:INFY-EQ,18-09-2023 11:45,1491.75,1494.6,1490.8, TP hit at 1494.6000000000001,1494.6
18-09-2023 13:45,NSE:INFY-EQ,18-09-2023 13:45,1493.55,1495.8,1492.8, SL hit at 1492.8,1492.8
18-09-2023 13:55,NSE:INFY-EQ,18-09-2023 13:55,1492.7,1495.4,1491.8, SL hit at 1491.8,1491.8
18-09-2023 14:20,NSE:INFY-EQ,18-09-2023 14:20,1491,1494.6,1489.8, SL hit at 1489.8,1489.8
18-09-2023 15:15,NSE:INFY-EQ,18-09-2023 15:15,1489.6,1495,1487.8, EOD Exit at 1492.0,1492
20-09-2023 15:15,NSE:INFY-EQ,20-09-2023 15:15,1484.75,1511,1476, EOD Exit at 1490.4,1490.4
21-09-2023 09:35,NSE:INFY-EQ,21-09-2023 09:35,1483.9,1491.4,1481.4, SL hit at 1481.3999999999999,1481.4
21-09-2023 10:00,NSE:INFY-EQ,21-09-2023 10:00,1478.05,1483.3,1476.3, SL hit at 1476.3,1476.3
21-09-2023 15:15,NSE:INFY-EQ,21-09-2023 15:15,1497.95,1506.35,1495.15, EOD Exit at 1502.45,1502.45
22-09-2023 15:15,NSE:INFY-EQ,22-09-2023 15:15,1495.9,1528.6,1485, EOD Exit at 1494.25,1494.25
