Date,Stock Name,Time,Entry,TP,SL,Result,Exit
01-08-2023 12:05,NSE:RELIANCE-EQ,01-08-2023 12:05,2525,2531.6,2522.8, SL hit at 2522.8,2522.8
01-08-2023 13:10,NSE:RELIANCE-EQ,01-08-2023 13:10,2521.15,2527.15,2519.15, TP hit at 2527.15,2527.15
01-08-2023 15:15,NSE:RELIANCE-EQ,01-08-2023 15:15,2513.5,2534.8,2506.4, EOD Exit at 2515.7,2515.7
02-08-2023 09:40,NSE:RELIANCE-EQ,02-08-2023 09:40,2503.45,2514.25,2499.85, SL hit at 2499.8500000000004,2499.85
02-08-2023 10:25,NSE:RELIANCE-EQ,02-08-2023 10:25,2499.9,2521.2,2492.8, SL hit at 2492.8,2492.8
02-08-2023 11:00,NSE:RELIANCE-EQ,02-08-2023 11:00,2487,2494.8,2484.4, SL hit at 2484.4,2484.4
02-08-2023 11:25,NSE:RELIANCE-EQ,02-08-2023 11:25,2483.5,2494.6,2479.8, SL hit at 2479.8,2479.8
02-08-2023 12:55,NSE:RELIANCE-EQ,02-08-2023 12:55,2479.75,2487.7,2477.1, SL hit at 2477.1000000000004,2477.1
02-08-2023 13:50,NSE:RELIANCE-EQ,02-08-2023 13:50,2465.65,2471.2,2463.8, TP hit at 2471.2,2471.2
03-08-2023 12:10,NSE:RELIANCE-EQ,03-08-2023 12:10,2484,2496.15,2479.95, SL hit at 2479.9500000000003,2479.95
03-08-2023 12:25,NSE:RELIANCE-EQ,03-08-2023 12:25,2472.7,2481.4,2469.8, SL hit at 2469.8,2469.8
03-08-2023 13:20,NSE:RELIANCE-EQ,03-08-2023 13:20,2464.15,2472.25,2461.45, SL hit at 2461.4500000000003,2461.45
03-08-2023 14:55,NSE:RELIANCE-EQ,03-08-2023 14:55,2461,2470.45,2457.85, TP hit at 2470.449999999999,2470.45
04-08-2023 14:45,NSE:RELIANCE-EQ,04-08-2023 14:45,2498.95,2507.2,2496.2, TP hit at 2507.1999999999985,2507.2
07-08-2023 10:55,NSE:RELIANCE-EQ,07-08-2023 10:55,2514.4,2520.7,2512.3, SL hit at 2512.3,2512.3
07-08-2023 12:50,NSE:RELIANCE-EQ,07-08-2023 12:50,2509,2521.6,2504.8, TP hit at 2521.5999999999995,2521.6
07-08-2023 14:45,NSE:RELIANCE-EQ,07-08-2023 14:45,2517,2521.8,2515.4, TP hit at 2521.7999999999997,2521.8
08-08-2023 10:50,NSE:RELIANCE-EQ,08-08-2023 10:50,2525,2533.1,2522.3, SL hit at 2522.3,2522.3
08-08-2023 12:40,NSE:RELIANCE-EQ,08-08-2023 12:40,2516.45,2531.3,2511.5, SL hit at 2511.5,2511.5
08-08-2023 14:05,NSE:RELIANCE-EQ,08-08-2023 14:05,2511,2520.3,2507.9, SL hit at 2507.9,2507.9
09-08-2023 09:15,NSE:RELIANCE-EQ,09-08-2023 09:15,2504.5,2518.6,2499.8, SL hit at 2499.8,2499.8
