Date,Stock Name,Time,Entry,TP,SL,Result,Exit
2023-08-01 11:00:00,NSE:SBIN-EQ,2023-08-01 11:00:00,617.0,619.7000000000003,616.0999999999999, SL hit at 616.0999999999999,616.0999999999999
2023-08-01 11:20:00,NSE:SBIN-EQ,2023-08-01 11:20:00,616.5,618.3000000000001,615.9, SL hit at 615.9,615.9
2023-08-01 12:25:00,NSE:SBIN-EQ,2023-08-01 12:25:00,613.5,618.1500000000002,611.9499999999999, SL hit at 611.9499999999999,611.9499999999999
2023-08-01 15:15:00,NSE:SBIN-EQ,2023-08-01 15:15:00,611.85,615.1500000000001,610.75, EOD Exit at 612.0,612.0
2023-08-02 11:00:00,NSE:SBIN-EQ,2023-08-02 11:00:00,608.0,615.0500000000001,605.65, SL hit at 605.65,605.65
2023-08-02 11:35:00,NSE:SBIN-EQ,2023-08-02 11:35:00,605.4,611.5500000000002,603.3499999999999, SL hit at 603.3499999999999,603.3499999999999
2023-08-02 11:55:00,NSE:SBIN-EQ,2023-08-02 11:55:00,602.4,606.9,600.9, SL hit at 600.9,600.9
2023-08-02 13:10:00,NSE:SBIN-EQ,2023-08-02 13:10:00,601.65,605.0999999999999,600.5, SL hit at 600.5,600.5
2023-08-02 13:30:00,NSE:SBIN-EQ,2023-08-02 13:30:00,599.6,603.2000000000002,598.4, SL hit at 598.4,598.4
2023-08-02 14:15:00,NSE:SBIN-EQ,2023-08-02 14:15:00,597.25,602.2000000000003,595.5999999999999, SL hit at 595.5999999999999,595.5999999999999
2023-08-03 10:25:00,NSE:SBIN-EQ,2023-08-03 10:25:00,592.95,599.2500000000005,590.8499999999999, SL hit at 590.8499999999999,590.8499999999999
2023-08-03 12:35:00,NSE:SBIN-EQ,2023-08-03 12:35:00,590.0,594.0500000000001,588.65, SL hit at 588.65,588.65
2023-08-03 13:55:00,NSE:SBIN-EQ,2023-08-03 13:55:00,587.7,590.2500000000005,586.8499999999999, SL hit at 586.8499999999999,586.8499999999999
2023-08-03 14:40:00,NSE:SBIN-EQ,2023-08-03 14:40:00,586.0,589.6000000000001,584.8, TP hit at 589.6000000000001,589.6000000000001
2023-08-04 13:20:00,NSE:SBIN-EQ,2023-08-04 13:20:00,593.95,599.6500000000003,592.05, SL hit at 592.05,592.05
2023-08-04 14:10:00,NSE:SBIN-EQ,2023-08-04 14:10:00,584.6,604.5500000000003,577.9499999999999, SL hit at 577.9499999999999,577.9499999999999
2023-08-07 09:15:00,NSE:SBIN-EQ,2023-08-07 09:15:00,573.0,578.4000000000002,571.1999999999999, SL hit at 571.1999999999999,571.1999999999999
2023-08-07 10:45:00,NSE:SBIN-EQ,2023-08-07 10:45:00,570.95,575.9000000000003,569.3, SL hit at 569.3,569.3
2023-08-07 14:10:00,NSE:SBIN-EQ,2023-08-07 14:10:00,568.35,571.2000000000002,567.4, SL hit at 567.4,567.4
2023-08-07 15:15:00,NSE:SBIN-EQ,2023-08-07 15:15:00,567.25,569.3500000000001,566.55, EOD Exit at 567.8,567.8
2023-08-08 11:30:00,NSE:SBIN-EQ,2023-08-08 11:30:00,570.0,573.3000000000001,568.9, SL hit at 568.9,568.9
2023-08-08 14:25:00,NSE:SBIN-EQ,2023-08-08 14:25:00,570.4,573.4,569.4, TP hit at 573.4,573.4
2023-08-09 09:40:00,NSE:SBIN-EQ,2023-08-09 09:40:00,571.65,573.9,570.9, SL hit at 570.9,570.9
2023-08-09 11:20:00,NSE:SBIN-EQ,2023-08-09 11:20:00,570.2,573.3500000000003,569.15, SL hit at 569.15,569.15
2023-08-09 14:25:00,NSE:SBIN-EQ,2023-08-09 14:25:00,569.3,572.4499999999998,568.25, TP hit at 572.4499999999998,572.4499999999998
2023-08-10 11:50:00,NSE:SBIN-EQ,2023-08-10 11:50:00,571.75,576.25,570.25, TP hit at 576.25,576.25
2023-08-10 13:45:00,NSE:SBIN-EQ,2023-08-10 13:45:00,572.55,574.8,571.8, SL hit at 571.8,571.8
2023-08-10 15:15:00,NSE:SBIN-EQ,2023-08-10 15:15:00,572.15,575.0000000000001,571.1999999999999, EOD Exit at 573.4,573.4
2023-08-11 14:00:00,NSE:SBIN-EQ,2023-08-11 14:00:00,576.1,578.8000000000003,575.1999999999999, SL hit at 575.1999999999999,575.1999999999999
2023-08-11 14:45:00,NSE:SBIN-EQ,2023-08-11 14:45:00,575.6,579.3500000000004,574.3499999999999, SL hit at 574.3499999999999,574.3499999999999
2023-08-14 09:15:00,NSE:SBIN-EQ,2023-08-14 09:15:00,574.3,576.55,573.55, SL hit at 573.55,573.55
