Time,Open,High,Low,Close,Volume
1663559100,560.7,565.85,559.55,565.05,580119
1663559400,565.2,566.25,563.2,563.5,294561
1663559700,563.5,564.25,562.6,563.55,229414
1663560000,563.45,566.5,563.45,566.4,267339
1663560300,566.5,566.8,565.55,565.75,148388
1663560600,565.75,566.9,565.2,566.5,130197
1663560900,566.5,568.5,566.5,567.75,243784
1663561200,567.85,569.3,567.5,569.1,169986
1663561500,569.1,569.25,567.85,568.0,131710
1663561800,568.05,569.7,568.05,568.9,135751
1663562100,568.8,569.3,567.95,568.6,111403
1663562400,568.6,569.85,567.5,568.55,192132
1663562700,568.65,568.95,567.85,568.3,62120
1663563000,568.3,569.5,568.3,568.6,48359
1663563300,568.6,568.65,567.7,567.75,54279
1663563600,567.8,567.95,566.15,566.6,159506
1663563900,566.7,567.9,566.55,567.9,58481
1663564200,567.9,568.5,567.5,567.8,55252
1663564500,567.7,568.3,567.55,567.6,48242
1663564800,567.65,569.5,567.65,569.15,119820
1663565100,569.1,569.95,568.5,569.8,168163
1663565400,569.9,570.9,569.7,570.8,223669
1663565700,570.8,571.35,570.0,570.15,175836
1663566000,570.15,571.45,570.05,571.35,112320
1663566300,571.3,571.85,571.0,571.25,144939
1663566600,571.3,571.5,570.75,570.85,76867
1663566900,570.85,571.3,570.5,570.7,71181
1663567200,570.8,571.25,570.0,570.05,116331
1663567500,570.1,570.5,569.7,569.9,94610
1663567800,569.9,570.45,569.3,569.4,103478
1663568100,569.55,571.0,569.5,571.0,81462
1663568400,571.0,571.0,569.65,569.7,95025
1663568700,569.6,571.0,569.6,570.85,66709
1663569000,570.95,571.6,570.55,571.4,92766
1663569300,571.4,572.4,571.1,571.55,172091
1663569600,571.6,571.9,571.15,571.25,56441
1663569900,571.35,572.0,571.1,571.4,99797
1663570200,571.4,571.5,570.85,571.0,89020
1663570500,570.95,571.2,570.3,570.65,150627
1663570800,570.75,571.2,570.5,570.95,70931
1663571100,571.0,571.25,570.5,571.1,72835
1663571400,571.25,571.65,570.75,571.65,74541
1663571700,571.65,571.65,570.85,571.6,72103
